listing_id,district_name,borough,inside_ringbahn,property_type,is_furnished,size_sqm,cold_rent_eur,warm_rent_eur,effective_m2_cold,listing_date,hunting_difficulty_score,anmeldung_ease_score
92,Moabit,Mitte,True,Apartment,True,58.8,1306.14,1477.88,22.21,2025-10-29,4,3
93,Prenzlauer Berg,Pankow,True,Room,True,23.3,628.87,761.21,26.99,2026-06-17,5,4
94,Wedding,Mitte,True,Room,False,17.8,304.11,421.95,17.08,2025-09-07,3,3
95,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,24.7,482.72,606.79,19.54,2026-02-03,4,4
96,Neukölln,Neukölln,True,Apartment,False,61.2,1045.94,1230.8,17.09,2025-09-08,4,3
97,Neukölln,Neukölln,True,Room,True,14.2,339.79,513.12,23.93,2026-03-11,4,3
98,Neukölln,Neukölln,True,Apartment,True,78.4,1859.19,2140.56,23.71,2026-01-27,4,3
99,Moabit,Mitte,True,Room,True,14.7,364.44,527.88,24.79,2025-12-23,4,3
100,Moabit,Mitte,True,Room,False,14.8,266.26,412.84,17.99,2025-11-03,4,3
101,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,True,73.2,1959.85,2191.95,26.77,2026-02-23,5,3
102,Schöneberg,Tempelhof-Schöneberg,True,Apartment,False,78.0,1552.24,1807.02,19.9,2026-04-14,4,4
103,Mitte,Mitte,True,Apartment,False,82.4,1703.5,1963.33,20.67,2026-05-05,5,4
104,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,True,15.1,365.43,514.03,24.2,2025-10-28,5,3
105,Mitte,Mitte,True,Room,False,23.8,572.19,726.87,24.04,2025-10-14,5,4
106,Lichtenberg,Lichtenberg,False,Apartment,False,44.9,584.27,726.59,13.01,2025-08-16,2,4
107,Neukölln,Neukölln,True,Apartment,True,43.3,976.05,1131.2,22.54,2025-10-26,4,3
108,Moabit,Mitte,True,Room,False,23.8,492.75,635.28,20.7,2026-02-08,4,3
109,Moabit,Mitte,True,Room,True,20.0,436.7,552.64,21.84,2026-05-12,4,3
110,Pankow,Pankow,False,Apartment,True,73.2,1480.51,1759.82,20.23,2025-08-29,3,4
111,Moabit,Mitte,True,Apartment,False,48.9,903.18,1070.57,18.47,2026-07-22,4,3
112,Moabit,Mitte,True,Apartment,False,55.4,899.67,1067.28,16.24,2025-08-22,4,3
113,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,23.3,473.87,633.3,20.34,2025-06-19,4,4
114,Moabit,Mitte,True,Room,True,15.6,388.14,551.76,24.88,2025-06-01,4,3
115,Lichtenberg,Lichtenberg,False,Apartment,False,37.7,532.58,670.08,14.13,2026-02-11,2,4
116,Lichtenberg,Lichtenberg,False,Room,True,17.7,320.91,488.17,18.13,2026-02-04,2,4
117,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,False,25.2,580.88,711.08,23.05,2025-06-08,5,3
118,Wedding,Mitte,True,Room,True,25.8,534.54,686.64,20.72,2025-08-18,3,3
119,Moabit,Mitte,True,Apartment,True,70.3,1480.46,1724.17,21.06,2026-01-20,4,3
120,Wedding,Mitte,True,Room,True,22.4,486.43,600.97,21.72,2026-07-01,3,3
121,Schöneberg,Tempelhof-Schöneberg,True,Room,False,17.7,330.73,487.92,18.69,2026-08-03,4,4
122,Pankow,Pankow,False,Apartment,False,78.3,1145.92,1418.5,14.63,2025-11-18,3,4
123,Wedding,Mitte,True,Apartment,True,81.6,1827.78,2087.8,22.4,2025-12-14,3,3
124,Prenzlauer Berg,Pankow,True,Apartment,False,50.9,1043.19,1246.59,20.49,2025-12-13,5,4
125,Schöneberg,Tempelhof-Schöneberg,True,Apartment,False,67.6,1143.62,1417.93,16.92,2025-08-04,4,4
126,Wedding,Mitte,True,Apartment,True,40.0,804.44,964.14,20.11,2025-06-08,3,3
127,Steglitz,Steglitz-Zehlendorf,False,Room,False,27.6,425.1,585.9,15.4,2025-10-14,2,5
128,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,True,39.0,900.36,1038.43,23.09,2025-11-10,4,4
129,Lichtenberg,Lichtenberg,False,Apartment,False,78.6,1005.69,1240.08,12.8,2026-04-20,2,4
130,Lichtenberg,Lichtenberg,False,Apartment,False,72.3,1004.52,1222.73,13.89,2026-04-21,2,4
131,Steglitz,Steglitz-Zehlendorf,False,Apartment,False,69.7,1074.05,1280.03,15.41,2026-07-13,2,5
132,Mitte,Mitte,True,Room,True,16.0,470.56,632.07,29.41,2025-08-27,5,4
133,Kreuzberg,Friedrichshain-Kreuzberg,True,Room,False,22.7,487.66,656.99,21.48,2025-08-13,5,3
134,Prenzlauer Berg,Pankow,True,Apartment,True,47.8,1175.59,1365.9,24.59,2026-05-13,5,4
135,Wedding,Mitte,True,Room,False,18.8,341.33,492.86,18.16,2026-01-04,3,3
136,Steglitz,Steglitz-Zehlendorf,False,Room,False,16.8,274.22,415.63,16.32,2025-09-30,2,5
137,Schöneberg,Tempelhof-Schöneberg,True,Apartment,False,84.6,1474.33,1818.95,17.43,2026-05-04,4,4
138,Schöneberg,Tempelhof-Schöneberg,True,Room,False,23.6,504.97,618.16,21.4,2026-04-07,4,4
139,Steglitz,Steglitz-Zehlendorf,False,Apartment,False,49.3,745.26,924.14,15.12,2025-11-28,2,5
140,Prenzlauer Berg,Pankow,True,Apartment,False,68.9,1481.11,1735.42,21.5,2026-08-04,5,4
141,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,False,67.3,1308.27,1539.04,19.44,2026-03-24,5,3
142,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,True,49.8,1175.69,1328.01,23.61,2026-03-04,4,4
143,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,76.5,1337.61,1635.17,17.49,2026-02-02,4,4
144,Neukölln,Neukölln,True,Apartment,True,40.8,970.03,1135.67,23.78,2026-08-15,4,3
145,Lichtenberg,Lichtenberg,False,Apartment,False,83.4,1244.05,1522.52,14.92,2026-07-10,2,4
146,Schöneberg,Tempelhof-Schöneberg,True,Room,False,20.4,431.14,584.84,21.13,2026-03-27,4,4
147,Schöneberg,Tempelhof-Schöneberg,True,Apartment,False,40.4,695.22,813.59,17.21,2026-08-27,4,4
148,Wedding,Mitte,True,Room,False,23.1,422.92,563.1,18.31,2026-05-25,3,3
149,Neukölln,Neukölln,True,Apartment,True,37.3,816.9,930.27,21.9,2025-09-29,4,3
150,Wedding,Mitte,True,Room,False,23.4,436.45,607.94,18.65,2026-01-01,3,3
151,Pankow,Pankow,False,Apartment,True,55.7,966.55,1155.36,17.35,2025-10-22,3,4
152,Mitte,Mitte,True,Apartment,True,57.2,1492.1,1725.31,26.09,2025-12-06,5,4
153,Wedding,Mitte,True,Apartment,False,38.0,563.26,717.61,14.82,2026-08-09,3,3
154,Moabit,Mitte,True,Room,True,23.0,552.61,684.29,24.03,2025-08-04,4,3
155,Pankow,Pankow,False,Room,False,21.8,380.07,542.92,17.43,2025-09-28,3,4
156,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,64.8,1137.77,1402.21,17.56,2025-08-06,4,4
157,Wedding,Mitte,True,Room,True,23.3,439.1,600.45,18.85,2025-09-30,3,3
158,Pankow,Pankow,False,Room,True,14.7,316.61,475.08,21.54,2026-01-30,3,4
159,Moabit,Mitte,True,Apartment,False,40.5,682.13,845.53,16.84,2025-06-23,4,3
160,Steglitz,Steglitz-Zehlendorf,False,Apartment,False,61.1,865.33,1113.2,14.16,2025-07-02,2,5
161,Moabit,Mitte,True,Apartment,False,40.4,708.25,846.91,17.53,2025-07-12,4,3
162,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,True,48.8,1178.84,1339.4,24.16,2026-04-02,4,4
163,Wedding,Mitte,True,Room,False,20.0,376.22,493.66,18.81,2026-05-02,3,3
164,Lichtenberg,Lichtenberg,False,Apartment,False,78.3,1087.04,1397.56,13.88,2025-12-29,2,4
165,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,True,71.5,1576.67,1805.89,22.05,2025-08-18,4,4
166,Lichtenberg,Lichtenberg,False,Apartment,True,76.6,1205.04,1495.09,15.73,2026-07-21,2,4
167,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,False,63.1,1231.8,1424.05,19.52,2025-11-29,5,3
168,Lichtenberg,Lichtenberg,False,Apartment,False,80.8,1037.31,1299.52,12.84,2025-11-07,2,4
169,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,16.2,334.36,499.43,20.64,2025-11-27,4,4
170,Wedding,Mitte,True,Room,False,22.0,414.83,579.77,18.86,2026-06-28,3,3
171,Pankow,Pankow,False,Apartment,False,36.3,582.05,723.45,16.03,2025-10-15,3,4
172,Mitte,Mitte,True,Room,False,18.3,430.93,541.33,23.55,2026-08-20,5,4
173,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,False,42.1,872.45,996.09,20.72,2026-06-18,5,3
174,Wedding,Mitte,True,Room,False,18.8,328.3,485.2,17.46,2026-07-03,3,3
175,Pankow,Pankow,False,Apartment,False,42.8,664.59,791.27,15.53,2025-07-12,3,4
176,Neukölln,Neukölln,True,Room,False,22.5,447.55,571.56,19.89,2026-02-18,4,3
177,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,True,23.5,638.43,768.48,27.17,2025-09-21,5,3
178,Schöneberg,Tempelhof-Schöneberg,True,Apartment,True,45.2,1173.48,1346.01,25.96,2025-10-27,4,4
179,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,20.0,386.73,531.35,19.34,2025-09-26,4,4
180,Wedding,Mitte,True,Apartment,False,52.7,800.57,1000.33,15.19,2026-01-10,3,3
181,Mitte,Mitte,True,Apartment,True,50.7,1382.23,1568.21,27.26,2025-10-27,5,4
182,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,False,16.4,393.48,533.39,23.99,2026-05-20,5,3
183,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,17.4,365.97,510.03,21.03,2025-12-20,4,4
184,Neukölln,Neukölln,True,Apartment,True,74.0,1568.46,1830.18,21.2,2025-09-08,4,3
185,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,23.0,446.31,562.99,19.4,2025-10-10,4,4
186,Prenzlauer Berg,Pankow,True,Room,True,24.6,649.11,799.93,26.39,2026-01-24,5,4
187,Pankow,Pankow,False,Apartment,False,81.2,1216.13,1513.51,14.98,2026-04-16,3,4
188,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,42.5,714.25,860.05,16.81,2025-11-03,4,4
189,Neukölln,Neukölln,True,Apartment,True,38.7,826.6,955.95,21.36,2025-10-25,4,3
190,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,False,39.5,800.15,932.92,20.26,2026-03-25,5,3
191,Wedding,Mitte,True,Apartment,False,37.1,621.33,754.37,16.75,2025-09-05,3,3
192,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,82.9,1507.28,1828.36,18.18,2026-08-03,4,4
193,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,True,67.3,1468.07,1743.27,21.81,2026-02-24,4,4
194,Wedding,Mitte,True,Apartment,True,80.9,1614.39,1914.91,19.96,2025-06-27,3,3
195,Lichtenberg,Lichtenberg,False,Apartment,True,39.7,718.69,868.3,18.1,2026-05-03,2,4
196,Pankow,Pankow,False,Apartment,True,64.1,1103.91,1364.24,17.22,2026-05-24,3,4
197,Lichtenberg,Lichtenberg,False,Room,False,27.1,431.01,565.49,15.9,2026-07-11,2,4
198,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,76.4,1468.38,1752.78,19.22,2026-02-25,4,4
199,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,False,53.1,1027.7,1193.18,19.35,2025-09-18,5,3
200,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,46.3,789.66,928.22,17.06,2026-08-07,4,4
201,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,False,71.9,1437.53,1703.15,19.99,2026-08-23,5,3
202,Pankow,Pankow,False,Room,True,16.3,363.71,526.3,22.31,2025-08-24,3,4
203,Steglitz,Steglitz-Zehlendorf,False,Room,False,23.5,373.31,512.18,15.89,2025-10-24,2,5
204,Steglitz,Steglitz-Zehlendorf,False,Apartment,True,47.0,965.09,1152.37,20.53,2025-09-08,2,5
205,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,57.0,1101.81,1320.33,19.33,2026-02-13,4,4
206,Wedding,Mitte,True,Room,True,16.8,378.53,491.92,22.53,2026-02-02,3,3
207,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,True,77.3,1885.2,2180.16,24.39,2025-10-18,4,4
208,Moabit,Mitte,True,Apartment,True,56.9,1284.43,1480.24,22.57,2025-11-26,4,3
209,Mitte,Mitte,True,Room,True,19.2,528.08,652.68,27.5,2025-11-11,5,4
210,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,False,74.6,1378.36,1620.38,18.48,2026-07-30,5,3
211,Moabit,Mitte,True,Apartment,True,70.3,1406.39,1616.94,20.01,2025-10-10,4,3
212,Prenzlauer Berg,Pankow,True,Apartment,False,71.4,1479.14,1695.73,20.72,2025-10-26,5,4
213,Prenzlauer Berg,Pankow,True,Room,True,19.9,574.11,691.32,28.85,2026-02-11,5,4
214,Pankow,Pankow,False,Apartment,False,63.8,984.04,1191.36,15.42,2025-06-01,3,4
215,Pankow,Pankow,False,Room,False,16.6,293.57,437.6,17.68,2025-12-02,3,4
216,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,False,74.3,1480.04,1697.32,19.92,2026-08-22,5,3
217,Moabit,Mitte,True,Room,True,19.2,456.13,570.52,23.76,2025-10-02,4,3
218,Steglitz,Steglitz-Zehlendorf,False,Apartment,True,64.1,1172.94,1385.93,18.3,2025-11-21,2,5
219,Lichtenberg,Lichtenberg,False,Room,False,20.5,349.24,500.3,17.04,2026-07-21,2,4
220,Kreuzberg,Friedrichshain-Kreuzberg,True,Room,False,20.4,442.56,555.41,21.69,2025-09-11,5,3
221,Mitte,Mitte,True,Room,True,19.6,600.84,713.22,30.66,2026-04-28,5,4
222,Prenzlauer Berg,Pankow,True,Room,False,14.7,346.38,474.14,23.56,2026-07-15,5,4
223,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,20.2,452.27,584.31,22.39,2025-09-04,4,4
224,Moabit,Mitte,True,Apartment,True,74.9,1458.39,1713.75,19.47,2026-01-07,4,3
225,Pankow,Pankow,False,Apartment,True,49.7,846.68,1008.44,17.04,2026-01-15,3,4
226,Pankow,Pankow,False,Apartment,True,57.2,1095.94,1324.39,19.16,2026-04-11,3,4
227,Schöneberg,Tempelhof-Schöneberg,True,Room,False,27.3,517.34,668.78,18.95,2025-12-04,4,4
228,Wedding,Mitte,True,Apartment,False,82.6,1190.93,1490.69,14.42,2026-07-06,3,3
229,Moabit,Mitte,True,Room,True,24.9,554.27,701.14,22.26,2026-04-06,4,3
230,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,False,53.6,1138.35,1330.7,21.24,2026-02-27,5,3
231,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,17.5,337.38,495.2,19.28,2026-02-11,4,4
232,Wedding,Mitte,True,Room,False,17.7,302.91,441.92,17.11,2026-04-10,3,3
233,Neukölln,Neukölln,True,Apartment,False,45.0,745.88,880.38,16.58,2025-08-28,4,3
234,Steglitz,Steglitz-Zehlendorf,False,Room,True,23.5,491.39,623.97,20.91,2025-07-04,2,5
235,Wedding,Mitte,True,Apartment,False,77.6,1253.08,1564.47,16.15,2026-04-23,3,3
236,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,False,41.1,781.39,907.43,19.01,2026-07-10,5,3
237,Moabit,Mitte,True,Room,False,19.2,388.39,534.25,20.23,2026-04-10,4,3
238,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,True,24.0,632.76,769.37,26.36,2026-03-22,5,3
239,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,True,15.0,398.1,516.44,26.54,2026-07-30,5,3
240,Wedding,Mitte,True,Apartment,True,83.3,1703.4,1950.51,20.45,2025-08-03,3,3
241,Wedding,Mitte,True,Room,True,18.5,406.39,577.55,21.97,2025-10-24,3,3
242,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,False,21.7,449.96,579.64,20.74,2026-03-01,5,3
243,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,True,82.1,1977.11,2286.2,24.08,2026-04-06,5,3
244,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,76.3,1271.32,1496.75,16.66,2026-04-25,4,4
245,Pankow,Pankow,False,Room,True,22.0,444.71,612.49,20.21,2026-03-07,3,4
246,Neukölln,Neukölln,True,Apartment,True,47.2,1126.37,1288.94,23.86,2026-05-19,4,3
247,Mitte,Mitte,True,Room,False,20.5,482.77,602.11,23.55,2026-08-16,5,4
248,Steglitz,Steglitz-Zehlendorf,False,Room,False,18.8,307.65,467.09,16.36,2026-02-19,2,5
249,Wedding,Mitte,True,Room,True,15.7,323.79,437.08,20.62,2025-12-14,3,3
250,Pankow,Pankow,False,Room,False,26.6,482.24,652.93,18.13,2026-06-05,3,4
251,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,True,27.9,710.87,853.2,25.48,2025-07-17,4,4
252,Schöneberg,Tempelhof-Schöneberg,True,Apartment,False,45.8,807.56,943.16,17.63,2026-02-09,4,4
253,Pankow,Pankow,False,Apartment,False,58.5,871.44,1100.56,14.9,2026-01-07,3,4
254,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,False,73.2,1439.49,1686.96,19.67,2026-03-19,5,3
255,Wedding,Mitte,True,Room,False,15.0,268.36,428.05,17.89,2025-10-22,3,3
256,Pankow,Pankow,False,Apartment,True,83.8,1601.05,1878.17,19.11,2025-12-05,3,4
