listing_id,district_id,district_name,borough,inside_ringbahn,year,listing_date,property_type,is_furnished,size_sqm,cold_rent_eur,warm_rent_eur,effective_m2_cold
104,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-06-07,Room,True,16.1,294.5,397.18,18.29
105,8,Pankow,Pankow,False,2022,2022-12-25,Apartment,False,49.4,535.37,684.55,10.84
106,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-08-10,Apartment,False,59.7,781.04,926.46,13.08
107,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-01-11,Room,True,15.3,271.7,397.58,17.76
108,4,Lichtenberg,Lichtenberg,False,2022,2022-08-15,Apartment,False,73.2,752.24,962.11,10.28
109,7,Neukölln,Neukölln,True,2022,2022-06-28,Room,False,22.9,349.39,453.5,15.26
110,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-05-28,Room,False,26.0,412.55,543.77,15.87
111,4,Lichtenberg,Lichtenberg,False,2022,2022-06-15,Apartment,False,62.5,676.26,843.95,10.82
112,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-10-05,Apartment,False,60.7,1012.93,1194.54,16.69
113,6,Moabit,Mitte,True,2022,2022-04-15,Room,True,19.1,372.16,506.36,19.48
114,7,Neukölln,Neukölln,True,2022,2022-11-19,Apartment,False,56.9,773.49,916.27,13.59
115,8,Pankow,Pankow,False,2022,2022-04-26,Apartment,False,50.5,535.72,675.46,10.61
116,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-05-20,Apartment,True,76.6,1488.33,1707.25,19.43
117,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-11-03,Apartment,False,47.2,673.51,803.08,14.27
118,12,Wedding,Mitte,True,2022,2022-09-17,Apartment,True,38.5,627.54,731.72,16.3
119,7,Neukölln,Neukölln,True,2022,2022-03-18,Apartment,True,49.9,864.85,1006.6,17.33
120,6,Moabit,Mitte,True,2022,2022-04-07,Apartment,True,62.6,1038.39,1206.76,16.59
121,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-08-31,Room,False,26.0,345.48,459.8,13.29
122,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-03-19,Apartment,False,84.4,1004.48,1256.57,11.9
123,6,Moabit,Mitte,True,2022,2022-02-21,Apartment,True,83.3,1284.19,1547.46,15.42
124,12,Wedding,Mitte,True,2022,2022-05-16,Apartment,True,42.2,706.89,811.01,16.75
125,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-10-01,Apartment,False,39.0,553.7,670.97,14.2
126,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-11-13,Apartment,False,79.4,1120.3,1349.52,14.11
127,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-02-20,Room,False,18.0,301.96,406.03,16.78
128,4,Lichtenberg,Lichtenberg,False,2022,2022-01-29,Apartment,True,43.3,539.0,655.56,12.45
129,7,Neukölln,Neukölln,True,2022,2022-04-03,Room,False,17.4,262.31,392.99,15.08
130,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-10-26,Room,False,19.4,354.53,476.93,18.27
131,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-08-27,Room,False,20.4,371.92,512.37,18.23
132,7,Neukölln,Neukölln,True,2022,2022-08-06,Apartment,True,57.1,911.73,1081.61,15.97
133,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-05-02,Room,False,16.8,222.35,344.09,13.24
134,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-12-04,Apartment,False,84.6,1152.59,1430.09,13.62
135,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-11-07,Room,False,23.6,398.26,500.47,16.88
136,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-06-30,Apartment,False,49.3,587.38,732.64,11.91
137,9,Prenzlauer Berg,Pankow,True,2022,2022-03-12,Apartment,False,68.9,1142.8,1349.04,16.59
138,4,Lichtenberg,Lichtenberg,False,2022,2022-07-06,Room,False,14.6,198.97,300.47,13.63
139,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-10-04,Room,False,18.6,247.33,356.37,13.3
140,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-09-04,Apartment,False,76.5,1071.82,1312.2,14.01
141,7,Neukölln,Neukölln,True,2022,2022-12-13,Apartment,True,40.8,694.07,827.48,17.01
142,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-07-22,Apartment,False,77.3,883.35,1075.15,11.43
143,5,Mitte,Mitte,True,2022,2022-11-23,Room,True,19.2,447.26,564.41,23.29
144,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-04-24,Room,True,14.4,308.22,449.41,21.4
145,4,Lichtenberg,Lichtenberg,False,2022,2022-03-13,Room,False,26.7,338.54,456.91,12.68
146,5,Mitte,Mitte,True,2022,2022-08-21,Apartment,True,59.6,1207.6,1357.92,20.26
147,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-03-21,Apartment,False,82.3,1187.91,1440.41,14.43
148,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-12-20,Apartment,False,65.8,1003.21,1177.7,15.25
149,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-07-08,Room,False,17.3,284.4,428.54,16.44
150,12,Wedding,Mitte,True,2022,2022-08-21,Apartment,False,38.0,442.16,566.47,11.64
151,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-05-05,Apartment,False,64.9,911.35,1113.07,14.04
152,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-04-30,Apartment,True,76.5,1511.91,1751.49,19.76
153,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-03-08,Apartment,False,64.8,911.33,1124.24,14.06
154,12,Wedding,Mitte,True,2022,2022-05-02,Room,True,23.3,355.79,491.34,15.27
155,8,Pankow,Pankow,False,2022,2022-09-01,Room,True,14.7,252.19,385.74,17.16
156,6,Moabit,Mitte,True,2022,2022-01-23,Apartment,False,40.5,540.32,671.98,13.34
157,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-02-01,Apartment,False,61.1,685.99,885.64,11.23
158,6,Moabit,Mitte,True,2022,2022-02-11,Apartment,False,40.4,559.0,672.09,13.84
159,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-11-02,Apartment,True,48.8,911.46,1042.86,18.68
160,12,Wedding,Mitte,True,2022,2022-12-02,Room,False,20.0,297.91,403.06,14.9
161,4,Lichtenberg,Lichtenberg,False,2022,2022-07-31,Apartment,False,78.3,843.45,1093.95,10.77
162,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-05-11,Apartment,False,71.5,1012.14,1203.85,14.16
163,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-08-10,Apartment,False,58.7,797.03,942.42,13.58
164,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-12-10,Apartment,True,41.5,760.23,880.81,18.32
165,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-01-27,Room,False,27.2,470.18,611.39,17.29
166,7,Neukölln,Neukölln,True,2022,2022-02-25,Apartment,True,63.9,1002.08,1168.34,15.68
167,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-11-15,Apartment,True,73.1,1385.0,1616.04,18.95
168,8,Pankow,Pankow,False,2022,2022-01-15,Apartment,False,65.4,780.99,978.77,11.94
169,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-03-15,Room,False,26.9,467.87,576.03,17.39
170,8,Pankow,Pankow,False,2022,2022-07-12,Apartment,True,72.0,1079.77,1286.95,15.0
171,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-01-27,Apartment,True,50.6,896.14,1044.73,17.71
172,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-09-06,Room,False,23.4,402.09,531.88,17.18
173,8,Pankow,Pankow,False,2022,2022-12-14,Room,True,24.6,380.78,493.53,15.48
174,8,Pankow,Pankow,False,2022,2022-01-04,Apartment,False,37.3,425.15,534.79,11.4
175,9,Prenzlauer Berg,Pankow,True,2022,2022-08-09,Room,True,15.9,327.8,428.15,20.62
176,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-07-01,Room,False,17.2,308.64,438.7,17.94
177,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-06-10,Room,False,20.1,349.38,452.88,17.38
178,8,Pankow,Pankow,False,2022,2022-06-16,Room,False,23.0,306.73,424.96,13.34
179,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-02-24,Apartment,False,76.6,1288.88,1478.8,16.83
180,9,Prenzlauer Berg,Pankow,True,2022,2022-04-24,Room,False,15.1,288.27,421.83,19.09
181,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-06-29,Apartment,True,66.7,1181.79,1388.47,17.72
182,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-03-30,Apartment,False,42.4,445.68,557.21,10.51
183,8,Pankow,Pankow,False,2022,2022-08-26,Room,False,15.1,221.91,350.17,14.7
184,8,Pankow,Pankow,False,2022,2022-11-16,Apartment,False,81.2,953.98,1195.29,11.75
185,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-06-05,Apartment,False,42.5,574.52,693.43,13.52
186,7,Neukölln,Neukölln,True,2022,2022-05-27,Apartment,True,38.7,597.78,703.5,15.45
187,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-10-25,Apartment,False,39.5,616.57,725.04,15.61
188,12,Wedding,Mitte,True,2022,2022-04-07,Apartment,False,37.1,482.43,590.56,13.0
189,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-06-25,Apartment,False,82.9,1203.37,1462.84,14.52
190,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-09-26,Room,False,14.5,201.32,345.91,13.88
191,12,Wedding,Mitte,True,2022,2022-01-27,Apartment,True,80.9,1223.08,1466.67,15.12
192,4,Lichtenberg,Lichtenberg,False,2022,2022-12-03,Apartment,True,39.7,542.48,663.62,13.66
193,8,Pankow,Pankow,False,2022,2022-12-24,Apartment,True,64.1,851.65,1061.32,13.29
194,4,Lichtenberg,Lichtenberg,False,2022,2022-06-18,Room,False,27.1,344.0,460.95,12.69
195,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-11-27,Apartment,False,71.9,1162.79,1369.41,16.17
196,4,Lichtenberg,Lichtenberg,False,2022,2022-09-06,Room,True,19.1,278.37,421.02,14.57
197,9,Prenzlauer Berg,Pankow,True,2022,2022-09-27,Room,True,15.1,333.19,467.88,22.07
198,5,Mitte,Mitte,True,2022,2022-04-03,Apartment,False,65.9,1137.57,1304.88,17.26
199,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-12-13,Apartment,False,43.3,484.37,604.3,11.19
200,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-10-01,Room,False,18.0,251.4,371.6,13.97
201,9,Prenzlauer Berg,Pankow,True,2022,2022-10-20,Room,False,20.6,391.29,507.84,18.99
202,6,Moabit,Mitte,True,2022,2022-11-06,Apartment,True,54.1,939.29,1108.9,17.36
203,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-09-22,Apartment,True,59.0,1166.06,1345.44,19.76
204,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-08-12,Room,False,17.8,330.1,436.73,18.54
205,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-09-15,Apartment,True,57.6,1018.23,1159.23,17.68
206,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-11-29,Room,False,19.2,299.55,441.44,15.6
207,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-12-28,Apartment,True,49.3,965.88,1090.36,19.59
208,6,Moabit,Mitte,True,2022,2022-11-08,Room,True,15.1,277.77,402.47,18.4
209,12,Wedding,Mitte,True,2022,2022-11-24,Room,False,17.3,232.95,343.68,13.47
210,8,Pankow,Pankow,False,2022,2022-05-04,Apartment,True,80.3,1121.41,1351.38,13.97
211,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-12-07,Room,False,22.6,292.57,411.32,12.95
212,4,Lichtenberg,Lichtenberg,False,2022,2022-09-17,Room,False,14.9,195.43,318.26,13.12
213,12,Wedding,Mitte,True,2022,2022-01-09,Room,False,14.6,204.84,321.64,14.03
214,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-06-20,Apartment,True,71.6,1364.91,1584.13,19.06
215,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-08-26,Room,False,25.4,429.92,564.98,16.93
216,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-04-14,Apartment,True,41.7,633.52,734.99,15.19
217,5,Mitte,Mitte,True,2022,2022-10-06,Apartment,False,50.8,832.8,972.93,16.39
218,6,Moabit,Mitte,True,2022,2022-12-02,Room,False,16.7,252.95,388.09,15.15
219,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-07-17,Room,False,20.1,332.31,452.1,16.53
220,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-02-12,Apartment,False,59.9,943.57,1115.32,15.75
221,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-02-22,Room,False,27.9,357.81,471.03,12.82
222,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-08-17,Room,True,20.2,425.5,545.48,21.06
223,5,Mitte,Mitte,True,2022,2022-01-30,Apartment,False,65.7,1101.87,1297.36,16.77
224,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-01-16,Apartment,False,60.7,973.37,1127.79,16.04
225,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-11-27,Apartment,False,56.9,831.43,980.08,14.61
226,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-07-09,Room,False,14.5,230.77,351.02,15.92
227,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-02-28,Room,True,15.9,309.02,421.56,19.44
228,5,Mitte,Mitte,True,2022,2022-05-14,Apartment,False,54.3,931.49,1074.6,17.15
229,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-03-04,Room,False,18.0,257.47,379.57,14.3
230,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-12-16,Apartment,False,79.9,1238.6,1436.67,15.5
231,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-03-22,Apartment,False,62.5,881.12,1047.99,14.1
232,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-04-13,Apartment,False,43.7,482.13,595.83,11.03
233,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-10-10,Room,False,19.1,343.43,464.46,17.98
234,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-07-29,Apartment,True,50.5,1090.21,1235.3,21.59
235,8,Pankow,Pankow,False,2022,2022-06-26,Room,False,23.0,314.31,444.91,13.67
236,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-08-10,Apartment,False,67.0,989.43,1208.5,14.77
237,12,Wedding,Mitte,True,2022,2022-12-30,Apartment,True,41.2,562.05,672.89,13.64
238,9,Prenzlauer Berg,Pankow,True,2022,2022-11-22,Room,False,26.5,504.14,615.42,19.02
239,12,Wedding,Mitte,True,2022,2022-10-31,Room,False,22.6,302.95,431.79,13.4
240,8,Pankow,Pankow,False,2022,2022-10-16,Room,False,24.1,337.03,474.94,13.98
241,5,Mitte,Mitte,True,2022,2022-10-20,Apartment,True,37.3,810.57,921.95,21.73
242,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-05-06,Apartment,True,79.4,1422.75,1634.9,17.92
243,4,Lichtenberg,Lichtenberg,False,2022,2022-08-26,Room,False,23.6,292.6,411.3,12.4
244,9,Prenzlauer Berg,Pankow,True,2022,2022-07-24,Room,True,26.1,573.72,689.26,21.98
245,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-08-19,Apartment,False,40.3,601.86,703.02,14.93
246,9,Prenzlauer Berg,Pankow,True,2022,2022-03-23,Room,True,27.2,618.3,761.62,22.73
247,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-08-28,Apartment,False,44.5,612.14,758.83,13.76
