trend_id,district_name,year,property_type,avg_warm_rent_eur,yoy_increase_percentage
86,Wedding,2022,Room,390.0,0.0
87,Wedding,2023,Room,415.35,6.5
88,Wedding,2024,Room,449.28,8.17
89,Wedding,2025,Room,479.7,6.77
90,Wedding,2026,Room,501.15,4.47
91,Pankow,2022,Apartment,930.0,0.0
92,Pankow,2023,Apartment,990.45,6.5
93,Pankow,2024,Apartment,1071.36,8.17
94,Pankow,2025,Apartment,1143.9,6.77
95,Pankow,2026,Apartment,1195.05,4.47
96,Pankow,2022,Room,410.0,0.0
97,Pankow,2023,Room,436.65,6.5
98,Pankow,2024,Room,472.32,8.17
99,Pankow,2025,Room,504.3,6.77
100,Pankow,2026,Room,526.85,4.47
101,Lichtenberg,2022,Apartment,880.0,0.0
102,Lichtenberg,2023,Apartment,937.2,6.5
103,Lichtenberg,2024,Apartment,1013.76,8.17
104,Lichtenberg,2025,Apartment,1082.4,6.77
105,Lichtenberg,2026,Apartment,1130.8,4.47
106,Lichtenberg,2022,Room,370.0,0.0
107,Lichtenberg,2023,Room,394.05,6.5
108,Lichtenberg,2024,Room,426.24,8.17
109,Lichtenberg,2025,Room,455.1,6.77
110,Lichtenberg,2026,Room,475.45,4.47
111,Steglitz,2022,Apartment,940.0,0.0
112,Steglitz,2023,Apartment,1001.1,6.5
113,Steglitz,2024,Apartment,1082.88,8.17
114,Steglitz,2025,Apartment,1156.2,6.77
115,Steglitz,2026,Apartment,1207.9,4.47
116,Steglitz,2022,Room,400.0,0.0
117,Steglitz,2023,Room,426.0,6.5
118,Steglitz,2024,Room,460.8,8.17
119,Steglitz,2025,Room,492.0,6.77
120,Steglitz,2026,Room,514.0,4.47
