listing_id,district_id,district_name,property_type,is_furnished,size_sqm,cold_rent_eur,warm_rent_eur,sample_size_total
42,1,Mitte,Apartment,No,45,614,748,480
43,1,Mitte,Apartment,No,39,632,770,480
44,1,Mitte,Apartment,No,58,818,986,480
45,1,Mitte,Apartment,No,62,1034,1234,480
46,1,Mitte,Apartment,No,37,537,667,480
47,1,Mitte,Apartment,No,55,818,1004,480
48,1,Mitte,Apartment,Yes,61,1294,1503,480
49,1,Mitte,Apartment,Yes,44,781,926,480
50,1,Mitte,Apartment,No,55,749,932,480
51,1,Mitte,Apartment,No,74,1188,1437,480
52,1,Mitte,Apartment,No,58,840,1037,480
53,1,Mitte,Apartment,No,64,1029,1213,480
54,1,Mitte,Apartment,No,57,854,1025,480
55,1,Mitte,Apartment,No,51,865,1040,480
56,1,Mitte,Apartment,No,56,867,1046,480
57,1,Mitte,Apartment,No,60,879,1078,480
58,1,Mitte,Apartment,Yes,42,749,899,480
59,1,Mitte,Apartment,Yes,49,836,990,480
60,1,Mitte,Apartment,Yes,61,1314,1526,480
61,1,Mitte,Apartment,No,42,706,829,480
62,1,Mitte,Apartment,Yes,34,667,781,480
63,1,Mitte,Apartment,Yes,41,815,934,480
64,1,Mitte,Apartment,Yes,54,1049,1232,480
65,1,Mitte,Apartment,No,65,972,1196,480
66,1,Mitte,Apartment,Yes,65,1353,1582,480
67,1,Mitte,Apartment,No,58,963,1158,480
68,1,Mitte,Apartment,Yes,85,1763,2024,480
69,1,Mitte,Apartment,No,43,678,814,480
70,1,Mitte,Apartment,No,49,766,926,480
71,1,Mitte,Apartment,No,46,647,804,480
72,1,Mitte,Apartment,No,65,936,1122,480
73,1,Mitte,Apartment,No,53,828,1007,480
74,1,Mitte,Apartment,No,44,760,895,480
75,1,Mitte,Apartment,No,44,671,795,480
76,1,Mitte,Apartment,Yes,62,1335,1543,480
77,1,Mitte,Apartment,No,38,539,662,480
78,1,Mitte,Apartment,No,48,782,927,480
79,1,Mitte,Apartment,No,77,1168,1406,480
80,1,Mitte,Apartment,No,64,1053,1238,480
81,1,Mitte,Apartment,No,57,877,1059,480
82,1,Mitte,Apartment,No,61,938,1130,480
83,1,Mitte,Apartment,No,72,1151,1374,480
84,1,Mitte,Apartment,No,35,558,680,480
85,1,Mitte,Apartment,No,40,554,667,480
86,1,Mitte,Apartment,Yes,58,1146,1335,480
87,1,Mitte,Apartment,No,71,1088,1340,480
88,1,Mitte,Apartment,Yes,37,696,826,480
89,1,Mitte,Apartment,No,55,762,953,480
90,1,Mitte,Apartment,Yes,45,769,905,480
91,1,Mitte,Apartment,Yes,56,1117,1307,480
92,1,Mitte,Apartment,No,44,731,860,480
93,1,Mitte,Apartment,No,61,1057,1246,480
94,1,Mitte,Apartment,No,59,975,1184,480
95,1,Mitte,Apartment,Yes,49,1006,1147,480
96,1,Mitte,Apartment,No,65,1105,1330,480
97,1,Mitte,Apartment,No,60,904,1115,480
98,1,Mitte,Apartment,No,48,669,840,480
99,1,Mitte,Apartment,No,53,847,1008,480
100,1,Mitte,Apartment,No,59,875,1076,480
101,1,Mitte,Apartment,No,59,822,990,480
102,1,Mitte,Apartment,No,60,940,1151,480
103,1,Mitte,Apartment,Yes,42,742,880,480
104,1,Mitte,Apartment,No,48,671,832,480
105,1,Mitte,Apartment,Yes,46,800,943,480
106,1,Mitte,Apartment,Yes,55,1031,1227,480
107,1,Mitte,Apartment,No,43,711,846,480
108,1,Mitte,Apartment,No,49,834,991,480
109,1,Mitte,Apartment,No,52,718,868,480
110,1,Mitte,Apartment,Yes,49,982,1142,480
111,1,Mitte,Apartment,Yes,51,935,1087,480
112,1,Mitte,Apartment,No,57,982,1186,480
113,1,Mitte,Apartment,No,55,763,960,480
114,1,Mitte,Apartment,No,52,809,984,480
115,1,Mitte,Apartment,Yes,78,1540,1761,480
116,1,Mitte,Apartment,Yes,43,787,938,480
117,1,Mitte,Apartment,No,78,1142,1389,480
118,1,Mitte,Apartment,No,42,627,747,480
119,1,Mitte,Apartment,Yes,56,1033,1220,480
120,1,Mitte,Apartment,Yes,75,1332,1591,480
121,1,Mitte,Apartment,Yes,36,770,872,480
122,1,Mitte,Apartment,No,74,1013,1268,480
123,1,Mitte,Apartment,Yes,31,668,776,480
124,1,Mitte,Apartment,No,68,1044,1249,480
125,1,Mitte,Apartment,Yes,52,1072,1253,480
126,1,Mitte,Apartment,No,53,770,924,480
127,1,Mitte,Apartment,No,53,766,941,480
128,1,Mitte,Apartment,No,58,867,1061,480
129,1,Mitte,Apartment,Yes,71,1380,1610,480
130,1,Mitte,Apartment,Yes,53,1041,1207,480
131,1,Mitte,Apartment,No,60,975,1150,480
132,1,Mitte,Apartment,No,68,928,1150,480
133,1,Mitte,Apartment,No,38,646,768,480
134,1,Mitte,Apartment,No,28,463,555,480
135,1,Mitte,Apartment,Yes,32,613,715,480
136,1,Mitte,Apartment,No,51,756,909,480
137,1,Mitte,Apartment,No,56,799,996,480
138,1,Mitte,Apartment,No,41,631,751,480
139,1,Mitte,Apartment,No,46,656,789,480
140,1,Mitte,Apartment,No,42,644,774,480
141,1,Mitte,Apartment,Yes,76,1305,1556,480
142,1,Mitte,Apartment,Yes,52,903,1087,480
143,1,Mitte,Apartment,Yes,51,1060,1210,480
144,1,Mitte,Apartment,No,49,705,861,480
145,1,Mitte,Apartment,Yes,34,652,748,480
146,1,Mitte,Apartment,Yes,68,1236,1475,480
147,1,Mitte,Apartment,No,85,1190,1464,480
148,1,Mitte,Apartment,No,65,943,1145,480
149,1,Mitte,Apartment,Yes,44,772,916,480
150,1,Mitte,Apartment,Yes,39,787,912,480
151,1,Mitte,Apartment,Yes,53,1047,1214,480
152,1,Mitte,Apartment,No,42,591,721,480
153,1,Mitte,Apartment,Yes,63,1176,1383,480
154,1,Mitte,Apartment,No,75,1086,1305,480
155,1,Mitte,Apartment,No,44,629,758,480
156,1,Mitte,Apartment,No,46,781,929,480
157,1,Mitte,Apartment,No,55,771,968,480
158,1,Mitte,Apartment,Yes,51,1075,1228,480
159,1,Mitte,Apartment,No,58,992,1181,480
160,1,Mitte,Apartment,Yes,40,732,850,480
161,1,Mitte,Apartment,No,43,667,791,480
162,1,Mitte,Apartment,No,30,477,575,480
163,1,Mitte,Apartment,No,51,796,953,480
164,1,Mitte,Apartment,No,37,522,655,480
165,1,Mitte,Apartment,No,64,931,1149,480
166,1,Mitte,Apartment,No,45,713,854,480
167,1,Mitte,Apartment,Yes,59,1234,1405,480
168,1,Mitte,Apartment,Yes,50,1022,1169,480
169,1,Mitte,Apartment,Yes,53,1044,1198,480
170,1,Mitte,Apartment,No,50,830,977,480
171,1,Mitte,Apartment,No,57,918,1094,480
172,1,Mitte,Apartment,No,47,794,956,480
173,1,Mitte,Apartment,No,28,429,524,480
174,1,Mitte,Apartment,No,40,620,761,480
175,1,Mitte,Apartment,No,62,1055,1234,480
176,1,Mitte,Apartment,No,28,480,566,480
177,1,Mitte,Apartment,No,56,892,1089,480
178,1,Mitte,Apartment,No,47,779,922,480
179,1,Mitte,Apartment,No,62,850,1061,480
180,1,Mitte,Apartment,No,42,710,855,480
181,1,Mitte,Apartment,No,49,813,959,480
182,1,Mitte,Apartment,Yes,40,816,949,480
183,1,Mitte,Apartment,No,57,829,997,480
184,1,Mitte,Apartment,No,75,1276,1510,480
185,1,Mitte,Apartment,No,60,850,1042,480
186,1,Mitte,Apartment,No,51,811,989,480
187,1,Mitte,Apartment,Yes,53,1075,1253,480
188,1,Mitte,Apartment,No,61,864,1064,480
189,1,Mitte,Apartment,Yes,71,1519,1743,480
190,1,Mitte,Apartment,Yes,46,806,966,480
191,1,Mitte,Apartment,No,53,839,990,480
192,1,Mitte,Apartment,Yes,65,1207,1389,480
193,1,Mitte,Apartment,Yes,40,781,904,480
194,1,Mitte,Apartment,Yes,32,596,697,480
195,1,Mitte,Apartment,No,49,692,849,480
196,1,Mitte,Apartment,Yes,34,645,750,480
197,1,Mitte,Apartment,No,74,1009,1227,480
198,1,Mitte,Apartment,No,66,1136,1343,480
199,1,Mitte,Apartment,Yes,83,1436,1682,480
200,1,Mitte,Apartment,No,53,900,1056,480
201,1,Mitte,Apartment,No,52,818,996,480
202,1,Mitte,Apartment,No,45,689,831,480
203,1,Mitte,Apartment,No,67,950,1184,480
204,1,Mitte,Apartment,No,28,481,565,480
205,1,Mitte,Apartment,No,39,534,666,480
206,1,Mitte,Apartment,No,73,1174,1391,480
207,1,Mitte,Apartment,No,61,834,1044,480
208,1,Mitte,Apartment,No,38,542,656,480
209,1,Mitte,Apartment,Yes,49,999,1169,480
210,1,Mitte,Apartment,No,48,724,866,480
211,1,Mitte,Apartment,No,59,805,980,480
212,1,Mitte,Apartment,No,48,657,814,480
213,1,Mitte,Apartment,No,63,1051,1240,480
214,1,Mitte,Apartment,No,50,751,902,480
215,1,Mitte,Apartment,No,37,580,692,480
216,1,Mitte,Apartment,Yes,73,1567,1780,480
217,1,Mitte,Apartment,Yes,52,1103,1266,480
218,1,Mitte,Apartment,No,65,889,1099,480
219,1,Mitte,Apartment,Yes,36,635,764,480
220,1,Mitte,Apartment,No,61,950,1134,480
221,1,Mitte,Apartment,No,54,790,969,480
222,1,Mitte,Apartment,No,40,669,781,480
223,1,Mitte,Apartment,No,55,872,1034,480
224,1,Mitte,Apartment,No,64,1091,1290,480
225,1,Mitte,Apartment,Yes,45,800,929,480
226,1,Mitte,Apartment,No,52,825,987,480
227,1,Mitte,Apartment,No,41,668,801,480
228,1,Mitte,Apartment,No,36,554,682,480
229,1,Mitte,Apartment,No,42,576,714,480
230,1,Mitte,Apartment,No,60,827,1024,480
231,1,Mitte,Apartment,No,66,923,1146,480
232,1,Mitte,Apartment,No,44,680,819,480
233,1,Mitte,Apartment,No,60,996,1177,480
234,1,Mitte,Apartment,No,45,712,841,480
235,1,Mitte,Apartment,No,51,729,907,480
236,1,Mitte,Apartment,Yes,59,1206,1402,480
237,1,Mitte,Apartment,No,62,901,1086,480
238,1,Mitte,Apartment,Yes,58,1256,1420,480
239,1,Mitte,Apartment,No,57,813,1014,480
240,1,Mitte,Apartment,No,54,741,905,480
241,1,Mitte,Apartment,Yes,52,1095,1254,480
242,1,Mitte,Apartment,No,60,1003,1200,480
243,1,Mitte,Apartment,No,47,652,796,480
244,1,Mitte,Apartment,No,48,784,931,480
245,1,Mitte,Apartment,No,69,1021,1263,480
246,1,Mitte,Apartment,No,54,859,1011,480
247,1,Mitte,Apartment,Yes,53,1135,1326,480
248,1,Mitte,Apartment,Yes,65,1212,1415,480
249,1,Mitte,Apartment,Yes,80,1689,1962,480
250,1,Mitte,Apartment,No,48,728,891,480
251,1,Mitte,Apartment,No,47,702,845,480
252,1,Mitte,Apartment,No,49,709,847,480
253,1,Mitte,Apartment,No,52,782,937,480
254,1,Mitte,Apartment,Yes,55,1181,1339,480
255,1,Mitte,Apartment,No,64,1098,1309,480
256,1,Mitte,Apartment,Yes,49,871,1017,480
257,1,Mitte,Apartment,No,54,858,1019,480
258,1,Mitte,Apartment,No,58,827,998,480
259,1,Mitte,Apartment,Yes,44,759,913,480
260,1,Mitte,Apartment,Yes,66,1410,1604,480
261,1,Mitte,Apartment,No,69,1119,1357,480
262,1,Mitte,Apartment,No,45,650,795,480
263,1,Mitte,Apartment,Yes,71,1237,1451,480
264,1,Mitte,Apartment,Yes,74,1302,1566,480
265,1,Mitte,Apartment,No,55,883,1041,480
266,1,Mitte,Apartment,No,56,847,1015,480
267,1,Mitte,Apartment,No,52,723,897,480
268,1,Mitte,Apartment,Yes,74,1284,1521,480
269,1,Mitte,Apartment,No,82,1370,1644,480
270,1,Mitte,Apartment,No,46,723,884,480
271,1,Mitte,Apartment,Yes,59,1239,1438,480
272,1,Mitte,Apartment,No,65,1089,1306,480
273,1,Mitte,Apartment,Yes,69,1224,1465,480
274,1,Mitte,Apartment,Yes,60,1028,1202,480
275,1,Mitte,Apartment,Yes,66,1171,1400,480
276,1,Mitte,Apartment,No,42,651,778,480
277,1,Mitte,Apartment,No,54,863,1042,480
278,1,Mitte,Apartment,Yes,53,1035,1188,480
279,1,Mitte,Apartment,No,55,947,1129,480
280,1,Mitte,Apartment,No,71,1215,1467,480
281,1,Mitte,Apartment,Yes,47,865,999,480
282,1,Mitte,Apartment,No,54,853,1031,480
283,1,Mitte,Apartment,No,45,740,867,480
284,1,Mitte,Apartment,No,57,844,1039,480
285,1,Mitte,Apartment,Yes,45,823,964,480
286,1,Mitte,Apartment,No,75,1147,1405,480
287,1,Mitte,Apartment,No,40,556,689,480
288,1,Mitte,Apartment,Yes,61,1115,1293,480
289,1,Mitte,Apartment,No,60,910,1097,480
290,1,Mitte,Apartment,Yes,51,932,1092,480
291,1,Mitte,Apartment,No,49,705,868,480
292,1,Mitte,Apartment,Yes,56,1049,1227,480
293,1,Mitte,Apartment,Yes,56,1155,1346,480
294,1,Mitte,Apartment,No,57,909,1070,480
295,1,Mitte,Apartment,No,54,896,1052,480
296,1,Mitte,Apartment,No,61,858,1050,480
297,1,Mitte,Apartment,No,52,719,876,480
298,1,Mitte,Apartment,No,35,581,692,480
299,1,Mitte,Apartment,No,47,745,903,480
300,1,Mitte,Apartment,Yes,28,589,668,480
301,1,Mitte,Apartment,Yes,40,725,842,480
302,1,Mitte,Apartment,No,51,789,960,480
303,1,Mitte,Apartment,No,49,726,867,480
304,1,Mitte,Apartment,No,52,776,925,480
305,1,Mitte,Apartment,No,40,629,767,480
306,1,Mitte,Apartment,No,49,703,844,480
307,1,Mitte,Apartment,Yes,69,1182,1378,480
308,1,Mitte,Apartment,Yes,63,1231,1451,480
309,1,Mitte,Apartment,Yes,63,1171,1351,480
310,1,Mitte,Apartment,No,60,1018,1225,480
311,1,Mitte,Apartment,Yes,77,1499,1720,480
312,1,Mitte,Apartment,No,44,608,737,480
313,1,Mitte,Apartment,No,48,829,970,480
314,1,Mitte,Apartment,No,57,945,1127,480
315,1,Mitte,Apartment,Yes,73,1319,1580,480
316,1,Mitte,Apartment,No,57,915,1106,480
317,1,Mitte,Apartment,Yes,49,1033,1199,480
318,1,Mitte,Apartment,No,32,486,585,480
319,1,Mitte,Apartment,Yes,55,1048,1223,480
320,1,Mitte,Apartment,Yes,65,1372,1576,480
321,1,Mitte,Apartment,No,60,1022,1220,480
322,1,Mitte,Apartment,Yes,33,659,755,480
323,1,Mitte,Apartment,No,58,828,1035,480
324,1,Mitte,Apartment,Yes,55,981,1157,480
325,1,Mitte,Apartment,No,59,901,1083,480
326,1,Mitte,Apartment,No,48,760,909,480
327,1,Mitte,Apartment,No,36,594,723,480
328,1,Mitte,Apartment,No,66,1010,1199,480
329,1,Mitte,Apartment,Yes,53,985,1152,480
330,1,Mitte,Apartment,No,37,538,663,480
331,1,Mitte,Apartment,Yes,48,824,984,480
332,1,Mitte,Apartment,Yes,48,923,1088,480
333,1,Mitte,Apartment,No,64,919,1112,480
334,1,Mitte,Apartment,No,55,759,954,480
335,1,Mitte,Apartment,No,61,902,1075,480
336,1,Mitte,Apartment,Yes,51,902,1084,480
337,1,Mitte,Apartment,No,63,964,1165,480
338,1,Mitte,Apartment,No,56,902,1060,480
339,1,Mitte,Apartment,No,65,933,1165,480
340,1,Mitte,Apartment,No,40,558,684,480
341,1,Mitte,Apartment,Yes,50,1013,1191,480
342,1,Mitte,Apartment,No,55,889,1070,480
343,1,Mitte,Apartment,Yes,54,925,1106,480
344,1,Mitte,Apartment,No,65,1049,1265,480
345,1,Mitte,Apartment,No,72,1007,1266,480
346,1,Mitte,Apartment,Yes,38,654,773,480
347,1,Mitte,Apartment,Yes,56,1101,1297,480
348,1,Mitte,Apartment,No,57,862,1052,480
349,1,Mitte,Apartment,No,59,980,1184,480
350,1,Mitte,Apartment,No,60,843,1011,480
351,1,Mitte,Apartment,No,39,588,709,480
352,1,Mitte,Apartment,No,35,535,643,480
353,1,Mitte,Apartment,No,72,1147,1370,480
354,1,Mitte,Apartment,No,64,1078,1282,480
355,1,Mitte,Apartment,No,35,552,667,480
356,1,Mitte,Apartment,Yes,32,659,767,480
357,1,Mitte,Apartment,Yes,61,1106,1280,480
358,1,Mitte,Apartment,No,55,941,1099,480
359,1,Mitte,Apartment,No,32,469,579,480
360,1,Mitte,Apartment,No,51,797,965,480
361,1,Mitte,Apartment,No,40,606,724,480
362,1,Mitte,Apartment,No,63,1018,1221,480
363,1,Mitte,Apartment,No,45,708,869,480
364,1,Mitte,Apartment,Yes,56,1079,1260,480
365,1,Mitte,Apartment,No,54,928,1115,480
366,1,Mitte,Apartment,No,47,796,936,480
367,1,Mitte,Apartment,Yes,35,733,841,480
368,1,Mitte,Apartment,Yes,73,1322,1542,480
369,1,Mitte,Apartment,No,48,773,931,480
370,1,Mitte,Apartment,No,67,1025,1222,480
371,1,Mitte,Apartment,No,60,864,1033,480
372,1,Mitte,Apartment,No,57,913,1098,480
373,1,Mitte,Apartment,No,45,713,875,480
374,1,Mitte,Apartment,No,36,508,620,480
375,1,Mitte,Apartment,Yes,72,1458,1667,480
376,1,Mitte,Apartment,Yes,45,787,934,480
377,1,Mitte,Apartment,Yes,47,817,956,480
378,1,Mitte,Apartment,No,50,741,895,480
379,1,Mitte,Apartment,Yes,52,900,1055,480
380,1,Mitte,Apartment,Yes,43,840,983,480
381,1,Mitte,Apartment,No,28,416,517,480
382,1,Mitte,Apartment,No,56,901,1091,480
383,1,Mitte,Apartment,Yes,44,864,993,480
384,1,Mitte,Apartment,No,51,826,991,480
385,1,Mitte,Apartment,No,51,839,1009,480
386,1,Mitte,Apartment,Yes,41,850,972,480
387,1,Mitte,Apartment,Yes,39,845,971,480
388,1,Mitte,Apartment,No,48,805,963,480
389,1,Mitte,Apartment,Yes,54,950,1135,480
390,1,Mitte,Apartment,No,48,781,927,480
391,1,Mitte,Apartment,Yes,43,748,887,480
392,1,Mitte,Apartment,No,36,531,645,480
393,1,Mitte,Apartment,No,57,972,1177,480
394,1,Mitte,Apartment,No,82,1378,1669,480
395,1,Mitte,Apartment,Yes,53,996,1181,480
396,1,Mitte,Apartment,Yes,51,1060,1215,480
397,1,Mitte,Apartment,No,50,712,866,480
398,1,Mitte,Apartment,No,43,743,892,480
399,1,Mitte,Apartment,Yes,52,1032,1185,480
400,1,Mitte,Apartment,No,62,960,1141,480
401,1,Mitte,Apartment,No,45,616,777,480
402,1,Mitte,Apartment,Yes,50,979,1136,480
403,1,Mitte,Apartment,No,53,808,984,480
404,1,Mitte,Apartment,No,28,403,496,480
405,1,Mitte,Apartment,Yes,49,846,985,480
406,1,Mitte,Apartment,Yes,70,1419,1628,480
407,1,Mitte,Apartment,No,45,729,873,480
408,1,Mitte,Apartment,Yes,48,1041,1199,480
409,1,Mitte,Apartment,No,63,982,1165,480
410,1,Mitte,Apartment,No,34,576,676,480
411,1,Mitte,Apartment,Yes,38,794,924,480
412,1,Mitte,Apartment,No,30,409,505,480
413,1,Mitte,Apartment,No,45,702,828,480
414,1,Mitte,Apartment,Yes,57,1033,1229,480
415,1,Mitte,Apartment,No,52,728,893,480
416,1,Mitte,Apartment,No,59,990,1178,480
417,1,Mitte,Apartment,No,47,770,916,480
418,1,Mitte,Apartment,No,41,618,759,480
419,1,Mitte,Apartment,No,44,712,844,480
420,1,Mitte,Apartment,No,64,1073,1298,480
421,1,Mitte,Apartment,Yes,78,1568,1826,480
422,1,Mitte,Apartment,No,45,716,861,480
423,1,Mitte,Apartment,No,58,900,1064,480
424,1,Mitte,Apartment,Yes,44,765,891,480
425,1,Mitte,Apartment,Yes,36,671,791,480
426,1,Mitte,Apartment,No,40,572,687,480
427,1,Mitte,Apartment,No,66,963,1152,480
428,1,Mitte,Apartment,No,61,1052,1260,480
429,1,Mitte,Apartment,No,35,503,618,480
430,1,Mitte,Apartment,No,70,1156,1382,480
431,1,Mitte,Apartment,No,44,761,905,480
432,1,Mitte,Apartment,Yes,63,1293,1502,480
433,1,Mitte,Apartment,No,48,820,969,480
434,1,Mitte,Apartment,No,42,639,777,480
435,1,Mitte,Apartment,No,49,830,978,480
436,1,Mitte,Apartment,Yes,49,1021,1191,480
437,1,Mitte,Apartment,No,50,822,996,480
438,1,Mitte,Apartment,Yes,55,1123,1306,480
439,1,Mitte,Apartment,Yes,54,1168,1321,480
440,1,Mitte,Apartment,No,36,512,634,480
441,1,Mitte,Apartment,Yes,46,891,1047,480
442,1,Mitte,Apartment,No,59,923,1112,480
443,1,Mitte,Apartment,Yes,59,1194,1389,480
444,1,Mitte,Apartment,No,31,510,608,480
445,1,Mitte,Apartment,No,49,814,973,480
446,1,Mitte,Apartment,No,42,687,811,480
447,1,Mitte,Apartment,No,66,1035,1260,480
448,1,Mitte,Apartment,Yes,45,772,905,480
449,1,Mitte,Apartment,No,51,756,911,480
450,1,Mitte,Apartment,Yes,57,1204,1380,480
451,1,Mitte,Apartment,No,73,1236,1463,480
452,1,Mitte,Apartment,No,47,712,844,480
453,1,Mitte,Apartment,No,34,564,675,480
454,1,Mitte,Apartment,No,67,1032,1223,480
455,1,Mitte,Apartment,No,71,1115,1352,480
456,1,Mitte,Apartment,No,76,1264,1527,480
457,1,Mitte,Apartment,No,42,580,724,480
458,1,Mitte,Apartment,Yes,52,1057,1224,480
459,1,Mitte,Apartment,No,38,563,672,480
460,1,Mitte,Apartment,No,50,721,890,480
461,1,Mitte,Apartment,Yes,40,800,916,480
462,1,Mitte,Apartment,Yes,74,1400,1630,480
463,1,Mitte,Apartment,No,75,1071,1301,480
464,1,Mitte,Apartment,No,71,972,1218,480
465,1,Mitte,Apartment,Yes,54,993,1155,480
466,1,Mitte,Apartment,Yes,31,589,697,480
467,1,Mitte,Apartment,No,58,889,1058,480
468,1,Mitte,Apartment,Yes,46,799,946,480
469,1,Mitte,Apartment,No,72,1187,1424,480
470,1,Mitte,Apartment,Yes,47,828,984,480
471,1,Mitte,Apartment,No,51,743,923,480
472,1,Mitte,Apartment,No,50,727,897,480
473,1,Mitte,Apartment,No,70,969,1167,480
474,1,Mitte,Apartment,Yes,49,847,990,480
475,1,Mitte,Apartment,Yes,28,522,601,480
476,1,Mitte,Apartment,Yes,63,1268,1473,480
477,1,Mitte,Apartment,Yes,33,674,773,480
478,1,Mitte,Apartment,No,46,739,889,480
479,1,Mitte,Apartment,No,58,921,1089,480
480,1,Mitte,Apartment,No,52,736,892,480
481,2,Friedrichshain,Apartment,No,54,885,1073,420
482,2,Friedrichshain,Apartment,No,66,1134,1356,420
483,2,Friedrichshain,Apartment,No,42,678,801,420
484,2,Friedrichshain,Apartment,Yes,53,1197,1374,420
485,2,Friedrichshain,Apartment,No,28,473,553,420
486,2,Friedrichshain,Apartment,Yes,40,817,944,420
487,2,Friedrichshain,Apartment,No,44,658,808,420
488,2,Friedrichshain,Apartment,No,42,688,835,420
489,2,Friedrichshain,Apartment,Yes,48,1094,1229,420
490,2,Friedrichshain,Apartment,No,33,481,597,420
491,2,Friedrichshain,Apartment,No,50,736,909,420
492,2,Friedrichshain,Apartment,Yes,85,1681,1985,420
493,2,Friedrichshain,Apartment,Yes,53,1024,1197,420
494,2,Friedrichshain,Apartment,Yes,35,736,845,420
495,2,Friedrichshain,Apartment,No,53,792,974,420
496,2,Friedrichshain,Apartment,Yes,62,1207,1426,420
497,2,Friedrichshain,Apartment,Yes,48,903,1063,420
498,2,Friedrichshain,Apartment,No,47,701,856,420
499,2,Friedrichshain,Apartment,No,52,944,1131,420
500,2,Friedrichshain,Apartment,No,69,1171,1373,420
501,2,Friedrichshain,Apartment,No,50,748,910,420
502,2,Friedrichshain,Apartment,Yes,64,1313,1538,420
503,2,Friedrichshain,Apartment,Yes,54,1016,1203,420
504,2,Friedrichshain,Apartment,Yes,48,988,1134,420
505,2,Friedrichshain,Apartment,No,68,1097,1314,420
506,2,Friedrichshain,Apartment,No,51,898,1048,420
507,2,Friedrichshain,Apartment,No,62,912,1093,420
508,2,Friedrichshain,Apartment,No,59,926,1127,420
509,2,Friedrichshain,Apartment,Yes,67,1316,1529,420
510,2,Friedrichshain,Apartment,No,70,1274,1477,420
511,2,Friedrichshain,Apartment,No,38,647,759,420
512,2,Friedrichshain,Apartment,No,66,1169,1398,420
513,2,Friedrichshain,Apartment,No,62,1058,1247,420
514,2,Friedrichshain,Apartment,No,36,546,656,420
515,2,Friedrichshain,Apartment,Yes,58,1289,1488,420
516,2,Friedrichshain,Apartment,No,54,915,1105,420
517,2,Friedrichshain,Apartment,No,60,885,1075,420
518,2,Friedrichshain,Apartment,No,75,1331,1564,420
519,2,Friedrichshain,Apartment,Yes,46,992,1131,420
520,2,Friedrichshain,Apartment,No,51,904,1084,420
521,2,Friedrichshain,Apartment,Yes,61,1097,1303,420
522,2,Friedrichshain,Apartment,Yes,59,1145,1323,420
523,2,Friedrichshain,Apartment,No,56,823,980,420
524,2,Friedrichshain,Apartment,No,74,1197,1440,420
525,2,Friedrichshain,Apartment,No,39,673,810,420
526,2,Friedrichshain,Apartment,No,39,690,818,420
527,2,Friedrichshain,Apartment,No,51,891,1058,420
528,2,Friedrichshain,Apartment,Yes,50,1142,1303,420
529,2,Friedrichshain,Apartment,Yes,41,753,890,420
530,2,Friedrichshain,Apartment,Yes,55,1210,1389,420
531,2,Friedrichshain,Apartment,No,28,436,532,420
532,2,Friedrichshain,Apartment,Yes,60,1253,1442,420
533,2,Friedrichshain,Apartment,Yes,71,1479,1691,420
534,2,Friedrichshain,Apartment,No,68,1112,1323,420
535,2,Friedrichshain,Apartment,No,78,1411,1676,420
536,2,Friedrichshain,Apartment,No,50,816,959,420
537,2,Friedrichshain,Apartment,No,43,696,821,420
